metric,framework,model,date,mean,lo80,hi80,lo95,hi95,validation_rmse,is_best
github-stars,Angular,PROPHET,2025-10-01,360.6055346866946,208.7844046856394,584.9271448184662,157.24659026233448,795.0739223089793,151.93508549461006,FALSE
github-stars,Angular,PROPHET,2025-11-01,409.0649849361921,245.77212070901183,695.7402745365118,192.42004491900857,896.4701753542919,151.93508549461006,FALSE
github-stars,Angular,PROPHET,2025-12-01,351.1961360275748,219.10808152357077,616.3653124326312,156.64017484362913,769.3888663727737,151.93508549461006,FALSE
github-stars,Angular,PROPHET,2026-01-01,383.53667525377085,229.6360997629922,642.1210063876607,188.73227318734632,785.1388876909704,151.93508549461006,FALSE
github-stars,Angular,PROPHET,2026-02-01,362.38102669434784,211.13342982812108,611.2849821375834,172.5532117245395,804.9569673242422,151.93508549461006,FALSE
github-stars,Angular,PROPHET,2026-03-01,444.21596853300895,266.0877392621317,772.9060895062925,204.38178939964885,984.292171839428,151.93508549461006,FALSE
github-stars,Angular,PROPHET,2026-04-01,390.39122886666564,228.21080466819595,652.8992151145286,174.95434840088427,845.6718078377007,151.93508549461006,FALSE
github-stars,Angular,PROPHET,2026-05-01,399.803678940563,235.04398848283884,670.4471217707147,181.1799753752337,879.3930952432745,151.93508549461006,FALSE
github-stars,Angular,PROPHET,2026-06-01,363.2557425562794,221.36646275642013,615.4503248882509,164.57668094569857,806.8511306786992,151.93508549461006,FALSE
github-stars,Angular,PROPHET,2026-07-01,355.01920668082056,207.55401357411984,570.6978958735742,157.57507265100423,788.5737939822717,151.93508549461006,FALSE
github-stars,Angular,PROPHET,2026-08-01,351.241110036981,204.27332893105068,603.6288327024613,164.79435828877698,794.266229339497,151.93508549461006,FALSE
github-stars,Angular,PROPHET,2026-09-01,235.11122355824742,142.16577601890666,387.21637227142054,105.53359677523413,491.8807494552988,151.93508549461006,FALSE
github-stars,Angular,PROPHET,2026-10-01,313.87462116762777,192.5887713168992,522.3892633606791,141.86013057321082,693.8441513330675,151.93508549461006,FALSE
github-stars,Angular,PROPHET,2026-11-01,387.69958757338077,235.28475629043285,673.5309284717819,177.91728628338723,859.56817576173,151.93508549461006,FALSE
github-stars,Angular,PROPHET,2026-12-01,294.275265963813,169.44923568791094,488.3642747860156,137.31144842683682,616.0489290657969,151.93508549461006,FALSE
github-stars,Angular,PROPHET,2027-01-01,307.99473741979773,181.4304346424185,518.4924498246224,136.66781642876,700.0094589150605,151.93508549461006,FALSE
github-stars,Angular,PROPHET,2027-02-01,309.8357634722428,183.1768565050507,527.0380964190437,138.66048883109474,637.8664441725675,151.93508549461006,FALSE
github-stars,Angular,PROPHET,2027-03-01,358.8996868119431,210.09065766154424,599.6544204945113,163.6792860930513,772.3571389034742,151.93508549461006,FALSE
github-stars,Angular,PROPHET,2027-04-01,341.8903324993427,193.1156716460336,574.5201182767024,151.65697605897296,819.1140331614533,151.93508549461006,FALSE
github-stars,Angular,PROPHET,2027-05-01,340.11513057513844,198.5821754673301,583.9139102848007,151.57404883986067,782.8333378653485,151.93508549461006,FALSE
github-stars,Angular,PROPHET,2027-06-01,317.4668124336982,188.99691068033886,530.414543939747,142.88233667741108,727.9683878442593,151.93508549461006,FALSE
github-stars,Angular,PROPHET,2027-07-01,302.9513008293739,176.70609592798846,505.78774304287424,129.12196730796813,665.9240055646975,151.93508549461006,FALSE
github-stars,Angular,PROPHET,2027-08-01,296.11751904448073,171.3818427431727,511.2876384047631,128.60974733897058,631.2514880929527,151.93508549461006,FALSE
github-stars,Angular,PROPHET,2027-09-01,175.54068719874942,102.13234472159928,295.2115868599986,75.90167081624332,396.950896660922,151.93508549461006,FALSE
github-stars,React,ARIMA,2025-10-01,836.0399330494162,593.5477246310905,1177.4350027646763,495.0712930080964,1411.369269083942,221.3149689564455,FALSE
github-stars,React,ARIMA,2025-11-01,895.0953749191747,584.7756051542328,1369.8097672317924,466.73276428451766,1715.764319856555,221.3149689564455,FALSE
github-stars,React,ARIMA,2025-12-01,928.7870493056275,579.2706370932841,1488.8288863744247,451.1067156253699,1911.1679178347379,221.3149689564455,FALSE
github-stars,React,ARIMA,2026-01-01,947.5526398234514,572.1479878515123,1568.842570483106,437.9791293234348,2048.646669769376,221.3149689564455,FALSE
github-stars,React,ARIMA,2026-02-01,957.8695251948163,563.6141871873817,1627.4230669573944,425.5726917685152,2154.390591309283,221.3149689564455,FALSE
